nume,jud,pe_lista,"06_21 LP","06_21 LS","06_21 UM","06_21 LT","07_21 LP","07_21 LS","07_21 UM","07_21 LT"
NOAPTEŞ,AG,735,18,3,0,21,100,18,0,118
COSTEŞTI,AG,6880,212,45,16,273,904,83,17,1004
BROŞTENI,AG,676,23,5,0,28,87,16,0,103
"PODU BROŞTENI",AG,521,12,13,0,25,57,33,0,90
"PÎRVU ROŞU",AG,518,11,3,0,14,52,11,0,63
STÎRCI,AG,199,10,4,0,14,13,10,0,23
MIOVENI,AG,23908,1146,175,289,1610,3313,423,290,4026
RACOVIŢA,AG,1604,95,53,11,159,398,221,32,651
COLIBAŞI,AG,2004,85,6,62,153,366,20,67,453
CLUCEREASA,AG,312,11,1,0,12,57,6,0,63
FĂGETU,AG,934,85,7,0,92,374,28,0,402
ENCULEŞTI,AG,470,13,2,0,15,65,11,0,76
"VALEA MARE-PODGORIA",AG,4716,166,40,0,206,768,138,0,906
"ŞTEFĂNEŞTII NOI",AG,3036,172,27,0,199,478,69,0,547
IZVORANI,AG,969,17,11,0,28,94,29,0,123
ŞTEFĂNEŞTI,AG,2464,68,16,0,84,327,70,0,397
GOLEŞTI,AG,1035,45,4,0,49,158,15,0,173
TOPOLOVENI,AG,7151,331,52,0,383,1218,135,0,1353
ŢIGĂNEŞTI,AG,690,28,7,0,35,139,11,0,150
"ALBEŞTII PAMÎNTENI",AG,1566,38,19,0,57,245,32,0,277
"ALBEŞTII UNGURENI",AG,2013,13,2,0,15,195,14,0,209
BRĂTEŞTI,AG,614,9,2,0,11,114,14,0,128
DOBROTU,AG,830,17,8,0,25,118,17,0,135
ALBEŞTI,AG,938,27,3,0,30,172,20,0,192
CÎNDEŞTI,AG,355,9,11,0,20,76,25,0,101
ALBOTA,AG,1875,75,6,0,81,293,30,0,323
MAREŞ,AG,873,15,7,0,22,186,31,0,217
CERBU,AG,634,28,13,0,41,152,27,0,179
ANINOASA,AG,1224,35,9,0,44,273,39,0,312
"VALEA SILIŞTII",AG,521,6,6,0,12,132,27,0,159
SLĂNIC,AG,919,19,4,0,23,253,24,0,277
AREFU,AG,1075,24,7,0,31,131,26,0,157
"CĂPĂŢÎNENII PĂMÂNTENI",AG,953,14,18,0,32,91,42,0,133
BASCOV,AG,4595,197,23,0,220,708,83,0,791
SCHIAU,AG,1451,52,6,0,58,274,20,5,299
GLÎMBOCU,AG,773,32,3,0,35,127,16,0,143
"VALEA URSULUI",AG,1558,28,9,0,37,261,66,0,327
MICA,AG,509,22,1,0,23,161,18,0,179
BĂBANA,AG,1359,40,12,0,52,274,59,0,333
SLĂATIOARELE,AG,675,19,7,0,26,112,33,0,145
GROŞI,AG,373,8,9,0,17,90,33,0,123
BĂICULEŞTI,AG,1398,26,7,0,33,200,36,0,236
MĂNICEŞTI,AG,625,10,3,0,13,98,21,0,119
ZIGONENI,AG,826,14,3,0,17,125,14,0,139
"VALEA LUI ENACHE",AG,682,2,3,0,5,121,10,0,131
TUTANA,AG,1526,17,4,0,21,278,21,0,299
BĂLILEŞTI,AG,909,32,10,0,42,176,33,0,209
BĂJEŞTI,AG,858,16,9,0,25,148,25,0,173
POIENIŢA,AG,990,23,1,0,24,193,16,0,209
GOLEŞTI,AG,582,16,6,0,22,113,18,0,131
BELEŢI,AG,547,17,3,0,20,79,9,0,88
NEGREŞTI,AG,975,16,6,0,22,185,29,0,214
BEREVOEŞTI,AG,1704,23,5,0,28,180,24,0,204
GĂMĂCEŞTI,AG,846,1,2,0,3,194,13,0,207
BRATIA,AG,155,8,10,0,18,34,13,0,47
URLUENI,AG,1030,29,7,0,36,97,49,0,146
MÎNDRA,AG,669,9,4,0,13,54,23,0,77
BÎRLA,AG,790,11,8,0,19,67,26,0,93
MOZĂCENII-VALE,AG,938,9,10,0,19,55,21,0,76
BĂDEŞTI,AG,269,11,8,0,19,32,14,0,46
BOGAŢI,AG,1366,31,8,0,39,176,35,0,211
GLÎMBOCELU,AG,593,13,9,0,22,117,34,0,151
CHIŢEŞTI,AG,219,8,7,0,15,77,22,0,99
BUJOI,AG,520,11,4,0,15,90,17,0,107
SUSENI,AG,816,16,2,0,18,145,16,1,162
GLÎMBOCEL,AG,161,6,5,0,11,37,10,0,47
BOTENI,AG,1511,26,2,0,28,236,18,0,254
LUNCA,AG,505,13,0,0,13,98,8,0,106
BOŢEŞTI,AG,935,28,22,0,50,155,67,0,222
BRADU,AG,3635,164,21,0,185,607,76,0,683
GEAMĂNA,AG,3128,110,13,0,123,378,60,0,438
BRĂDULEŢ,AG,454,15,2,0,17,90,30,0,120
GALEŞU,AG,758,21,27,0,48,191,57,0,248
BRĂDETU,AG,296,15,38,0,53,61,82,0,143
"BUDEASA MARE",AG,1069,20,16,0,36,118,35,0,153
"BUDEASA MICĂ",AG,722,18,4,0,22,132,14,0,146
GĂLĂŞEŞTI,AG,800,10,3,0,13,135,18,0,153
CALOTEŞTI,AG,834,10,8,0,18,165,34,0,199
"BUGHEA DE JOS",AG,2407,86,17,0,103,431,45,0,476
"BUGHEA DE SUS",AG,2380,53,8,0,61,231,26,0,257
ŞERBOENI,AG,1205,25,7,0,32,185,23,0,208
IONEŞTI,AG,621,18,3,1,22,91,16,2,109
TOMŞANCA,AG,307,10,4,0,14,54,16,0,70
VULPEŞTI,AG,840,9,2,0,11,68,15,0,83
CORNĂŢEL,AG,825,27,8,0,35,75,19,0,94
BUZOEŞTI,AG,907,12,5,0,17,117,32,0,149
CĂLDĂRARU,AG,734,17,4,0,21,70,22,0,92
STRÎMBENI,AG,710,25,8,0,33,96,23,2,121
BURDEA,AG,486,10,1,0,11,51,15,0,66
VRĂNEŞTI,AG,1604,35,4,0,39,169,20,0,189
CĂLINEŞTI,AG,1666,29,9,0,38,178,35,15,228
CÎRSTIENI,AG,1484,28,0,0,28,287,8,0,295
CIOCĂNEŞTI,AG,782,28,3,0,31,101,12,0,113
GLODU,AG,596,15,1,0,16,91,18,0,109
GORGANU,AG,860,22,4,0,26,115,16,0,131
"RADU NEGRU",AG,514,6,5,0,11,32,14,0,46
URLUCEA,AG,559,13,3,0,16,71,11,0,82
VĂLENI-PODGORIA,AG,912,16,8,0,24,79,18,0,97
CĂTEASCA,AG,702,11,5,0,16,105,29,0,134
SILIŞTEA,AG,405,16,2,0,18,60,18,0,78
GRUIU,AG,533,12,3,0,15,82,22,0,104
CIREŞU,AG,583,21,5,0,26,81,10,0,91
CATANELE,AG,794,45,7,0,52,222,23,0,245
"CEPARII PĂMÎNTENI",AG,706,22,5,0,27,123,24,0,147
CĂRPENIŞ,AG,588,13,6,0,19,157,24,0,181
URLUIEŞTI,AG,231,13,0,0,13,48,3,0,51
"CEPARII UNGURENI",AG,287,6,5,0,11,32,13,0,45
CETĂŢENI,AG,909,26,4,0,30,92,22,0,114
LĂICĂI,AG,687,12,5,0,17,101,17,0,118
"VALEA CETĂŢUIA",AG,694,5,4,0,9,100,6,0,106
CICĂNEŞTI,AG,1713,9,0,0,9,231,13,0,244
CIOFRÎNGENI,AG,1052,23,8,0,31,114,29,0,143
LACURILE,AG,533,9,4,0,13,75,30,0,105
BURLUŞI,AG,395,11,6,0,17,72,23,0,95
BRATIA,AG,347,8,2,0,10,48,23,0,71
CIOMĂGEŞTI,AG,346,6,6,0,12,54,10,0,64
DOGARI,AG,207,13,3,0,16,52,12,0,64
COCU,AG,509,5,4,0,9,64,31,0,95
CRUCIŞOARA,AG,252,13,11,0,24,32,30,0,62
"RĂCHIŢELE DE JOS",AG,310,14,4,0,18,52,16,0,68
"RĂCHIŢELE DE SUS",AG,318,8,4,0,12,18,8,0,26
BĂRBĂTEŞTI,AG,477,8,7,0,15,24,12,0,36
"OEŞTII UNGURENI",AG,2069,19,5,0,24,253,36,0,289
CORBENI,AG,1986,28,8,0,36,213,38,0,251
BERINDEŞTI,AG,604,6,4,0,10,67,14,0,81
CORBI,AG,1689,40,11,0,51,481,49,0,530
CORBŞORI,AG,775,15,9,0,24,191,43,0,234
STĂNEŞTI,AG,941,21,3,0,24,188,21,0,209
PETREŞTI,AG,717,14,2,0,16,135,35,0,170
COŞEŞTI,AG,861,10,5,0,15,96,19,0,115
LEICEŞTI,AG,1589,22,5,0,27,218,26,0,244
JUPÎNEŞTI,AG,889,13,7,0,20,87,21,0,108
LĂPUŞANI,AG,312,4,4,0,8,50,7,0,57
COTMEANA,AG,806,16,18,0,34,70,64,0,134
LINTEŞTI,AG,348,11,4,0,15,35,21,0,56
CUCA,AG,409,14,2,0,16,95,20,0,115
TEODOREŞTI,AG,523,12,9,0,21,77,31,0,108
MĂCĂI,AG,512,11,4,0,15,67,31,0,98
CÎRCEŞTI,AG,257,13,7,0,20,47,16,0,63
DAVIDEŞTI,AG,482,19,7,0,26,111,31,0,142
VOROVENI,AG,481,11,2,0,13,137,22,0,159
CONŢEŞTI,AG,1417,38,6,0,44,319,25,0,344
"PODU DÎMBOVIŢEI",AG,461,7,1,0,8,126,22,0,148
DÎMBOVICIOARA,AG,235,21,8,0,29,71,27,0,98
CIOCANU,AG,60,2,9,0,11,18,16,1,35
PISCANI,AG,764,17,3,0,20,86,29,0,115
DÎRMĂNEŞTI,AG,1051,12,4,0,16,107,15,0,122
"VALEA NANDRII",AG,586,9,8,0,17,84,22,0,106
NEGRENI,AG,556,18,4,0,22,80,14,0,94
